id,POP_2010,ELEV_IN_FT,STATE
"53",40888.000000000000000,1611.000000000000000,ND
"101",52838.000000000000000,830.000000000000000,ND
"153",15427.000000000000000,1407.000000000000000,ND
"177",105549.000000000000000,902.000000000000000,ND
"192",17787.000000000000000,2411.000000000000000,ND
"199",18331.000000000000000,1647.000000000000000,ND
"238",33039.000000000000000,115.000000000000000,ME
"296",19989.000000000000000,138.000000000000000,NY
"297",11128.000000000000000,295.000000000000000,NY
"302",19136.000000000000000,121.000000000000000,ME
"305",15722.000000000000000,108.000000000000000,ME
"308",14570.000000000000000,758.000000000000000,WI
"309",11346.000000000000000,594.000000000000000,WI
"313",13646.000000000000000,1480.000000000000000,SD
"319",23055.000000000000000,190.000000000000000,ME
"320",36592.000000000000000,217.000000000000000,ME
"327",66194.000000000000000,62.000000000000000,ME
"328",25002.000000000000000,23.000000000000000,ME
"329",17494.000000000000000,66.000000000000000,ME
"342",21277.000000000000000,69.000000000000000,ME
"343",18482.000000000000000,66.000000000000000,ME
"345",14700.000000000000000,344.000000000000000,NY
"347",11896.000000000000000,361.000000000000000,NY
"348",18142.000000000000000,285.000000000000000,NY
"349",33725.000000000000000,456.000000000000000,NY
"367",27687.000000000000000,686.000000000000000,NY
"369",26586.000000000000000,299.000000000000000,NY
"370",21165.000000000000000,614.000000000000000,NY
"371",50193.000000000000000,614.000000000000000,NY
"372",31568.000000000000000,574.000000000000000,NY
"373",210565.000000000000000,505.000000000000000,NY
"374",72125.000000000000000,643.000000000000000,MI
"375",15665.000000000000000,820.000000000000000,NY
"377",10224.000000000000000,492.000000000000000,NY
"378",145170.000000000000000,397.000000000000000,NY
"380",28079.000000000000000,1129.000000000000000,IA
"381",11233.000000000000000,1319.000000000000000,IA
"384",11393.000000000000000,430.000000000000000,NY
"385",15465.000000000000000,892.000000000000000,NY
"386",261310.000000000000000,600.000000000000000,NY
"387",18141.000000000000000,623.000000000000000,NY
"391",18620.000000000000000,361.000000000000000,NY
"392",10545.000000000000000,787.000000000000000,NY
"393",13261.000000000000000,443.000000000000000,NY
"395",66135.000000000000000,243.000000000000000,NY
"397",10600.000000000000000,1421.000000000000000,IA
"405",13901.000000000000000,1112.000000000000000,NY
